observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId
obsE		C1	0.126015991498167	10	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.0419962808263691	10	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.0401093192235717	10	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	0.00677257823452554	20	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.137961373819942	20	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.0754688169014823	20	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	0.0887251616288609	30	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.00800347940628154	30	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.101348792404874	30	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	-0.106435221048461	40	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.095306020451714	40	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.0391167913646507	40	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	0.0426296941361829	50	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.033710511615772	50	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.072033632094618	50	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	0.0422674023374954	60	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.0561390997760822	60	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.0664815486982857	60	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	0.13760592022284	70	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.031556903777212	70	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.13286635411966	70	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	-0.0379626839768339	80	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.0167058464466266	80	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.0226943043803952	80	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	-0.0565296687868059	90	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.0483837857573077	90	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.113058240880532	90	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsE		C1	-0.0172933664427381	100	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	0.0339299516931419	100	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1
obsE		C1	-0.0157017746702163	100	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2
obsES		C1	0.983167653232746	10	""	sigma_obsES	data1	1
obsES		C1	0.933096424104879	10	""	sigma_obsES	data1	1
obsES		C1	0.791493417315366	10	""	sigma_obsES	data1	2
obsES		C1	1.1214447475617	20	""	sigma_obsES	data1	1
obsES		C1	0.960174127030973	20	""	sigma_obsES	data1	1
obsES		C1	1.01100578209993	20	""	sigma_obsES	data1	2
obsES		C1	0.946777743610117	30	""	sigma_obsES	data1	1
obsES		C1	1.15715567453914	30	""	sigma_obsES	data1	1
obsES		C1	0.977989028894354	30	""	sigma_obsES	data1	2
obsES		C1	1.07337818917714	40	""	sigma_obsES	data1	1
obsES		C1	1.08473969521865	40	""	sigma_obsES	data1	1
obsES		C1	1.00297271549961	40	""	sigma_obsES	data1	2
obsES		C1	0.963686249834038	50	""	sigma_obsES	data1	1
