parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
E	E	log10	1e-05	1000	0.508779377414366	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
ES	ES	log10	1e-05	1000	0.498532508601528	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kcat_C1	kcat_C1	log10	1e-05	1000	0.0958489698809276	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kcat_C2	kcat_C2	log10	1e-05	1000	0.0946500769981863	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kon_C1	kon_C1	log10	1e-05	1000	1	0	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kon_C2	kon_C2	log10	1e-05	1000	1	0	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
offset_E	offset_E	log10	1e-05	1000	5.21657305476648e-05	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
offset_S	offset_S	log10	1e-05	1000	0.216064730379987	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
offset_S_C2	offset_S_C2	log10	1e-05	1000	0.438237748255737	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
P	P	log10	1e-05	1000	0.0510626407268963	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
S	S	log10	1e-05	1000	101.086242793385	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsES	sigma_obsES	log10	1e-05	1000	0.0970239668820003	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsP	sigma_obsP	log10	1e-05	1000	0.0978539692763098	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsS	sigma_obsS	log10	1e-05	1000	0.108402816586083	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsS_C2	sigma_obsS_C2	log10	1e-05	1000	0.075216297699889	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigmaAbs_obsE	sigmaAbs_obsE	log10	1e-05	1000	4.57972842495263	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigmaRel_obsE	sigmaRel_obsE	log10	1e-05	1000	0.727885530676568	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
