observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId
obsE		Enzyme	0.0107721637925893	1	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0126404009966923	1	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0106730085810655	1	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0141144215638293	2	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0120544622298595	2	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0108493045203357	2	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0143268360228804	3	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.013712163780381	3	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.013935734961511	3	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0142235845758918	4	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0145024572622638	4	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0161834078747574	4	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0151926846422877	5	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0162721327485325	5	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0161629666160464	5	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0184019107010541	6	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0208870783977911	6	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0185230062298517	6	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0168423751127589	7	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0202521634699982	7	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0211481561195815	7	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0217758051422849	8	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0218812148921929	8	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0201755565439678	8	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0238569636709005	9	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0261118575941948	9	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0240131536298988	9	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.023844421391049	10	offset_E	sigma_obsE	data1	1
obsE		Enzyme	0.0218579353538553	10	offset_E	sigma_obsE	data1	2
obsE		Enzyme	0.0287175030186323	10	offset_E	sigma_obsE	data1	3
obsE		Enzyme	0.0469895041970507	20	offset_E	sigma_obsE	data1	1
