parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
E	E	log10	1e-04	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
ES	ES	log10	1e-04	1000	0	0	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
P	P	log10	1e-04	1000	0	0	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
S	S	log10	1e-04	1000	100	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kcat	kcat	log10	1e-04	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kdegS	kdegS	log10	1e-04	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
koff	koff	log10	1e-04	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kon	kon	log10	1e-04	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kprodS	kprodS	lin	1e-04	1000	2	0	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
offset_E	offset_E	log10	1e-04	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsE	sigma_obsE	log10	1e-04	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsES	sigma_obsES	log10	1e-04	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsP	sigma_obsP	log10	1e-04	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsS	sigma_obsS	log10	1e-04	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
