observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId
observable_CIS_au		model1_data1	0.0170074838287883	0	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.0388193281889231	5	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.0213437955047499	10	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.0370858139097189	20	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.128730275083952	40	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.282493486939208	60	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.820831393448306	80	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.922259313924577	100	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.773095363096948	140	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.751557686402314	160	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.951127279571276	180	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	0.911414943883666	220	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_CIS_au		model1_data1	1	240	offset_CIS_long;scale_CIS_long	sd_CIS_au		
observable_pEpoR_au		model1_data1	0.00441239892183293	0	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.700808625336927	5	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	1	10	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.606469002695418	20	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.190846361185984	40	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.100787061994609	60	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.110948787061995	80	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.0698463611859839	100	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.283018867924528	120	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.134037735849057	140	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.23955525606469	160	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.0506819407008081	180	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.0400188679245281	220	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data1	0.085331536388141	240	offset_pEpoR_long;scale_pEpoR_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.0110662983425414	0	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	1	5	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.745856353591161	10	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.745856353591161	20	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.262055248618785	40	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.0431049723756908	60	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.163198895027624	80	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.0926077348066297	100	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.0252762430939225	120	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.134138121546961	140	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.13585635359116	160	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.0562320441988948	180	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.0592430939226518	220	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pJAK2_au		model1_data1	0.102116022099448	240	offset_pJAK2_long;scale_pJAK2_long	sd_JAK2EpoR_au		
observable_pSTAT5_au		model1_data1	0.00108961902029359	0	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	1	5	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.907589351489257	10	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.560146405390945	20	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.390882232061851	60	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.168971827818575	80	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.163321882487961	100	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.193885558752142	120	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.121702583031553	140	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.126579402436471	160	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.291616585373419	180	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.0857246989306511	220	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_pSTAT5_au		model1_data1	0.275912901199625	240	offset_pSTAT5_long;scale_pSTAT5_long	sd_STAT5_au;0		
observable_SOCS3_au		model1_data1	0.109720677996869	10	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au		
observable_SOCS3_au		model1_data1	0.281462488560127	20	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au		
observable_SOCS3_au		model1_data1	0.568877493136077	60	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au		
observable_SOCS3_au		model1_data1	1	120	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au		
observable_SOCS3_au		model1_data1	1	180	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au		
observable_SOCS3_au		model1_data1	0.969745788992004	240	offset_SOCS3_long;scale_SOCS3_long	sd_SOCS3_au		
observable_tSTAT5_au		model1_data1	0.580253494950202	0	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	1	5	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.685016065555623	10	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.564744334816084	20	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.859840771845806	60	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.680305638820674	80	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.747585797058387	100	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.874021574162275	120	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.640664644999287	140	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.702241021204203	160	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.841179674960164	180	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.574873063175649	220	scale_tSTAT5_long	sd_STAT5_au		
observable_tSTAT5_au		model1_data1	0.722746088481448	240	scale_tSTAT5_long	sd_STAT5_au		
observable_pEpoR_au		model1_data10	0.115088282504013	0	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data10	0.329052969502408	5	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data10	0.266452648475121	10	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data10	0.231139646869984	60	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au		
observable_pEpoR_au		model1_data10	0.176565008025682	120	offset_pEpoR_cisoe_pepor;scale_pEpoR_cisoe_pepor	sd_JAK2EpoR_au		
observable_CIS_au		model1_data11	0.179174242424242	0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au		
observable_CIS_au		model1_data11	0.136151515151515	10	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au		
observable_CIS_au		model1_data11	1	60	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au		
