observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId	datapointId	lloq
obsE		C1	0.00205752513042339	10	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00186571090047934	10	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00192881999379602	10	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00179516243086287	20	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.0022448680362018	20	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00192394788680278	20	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00218184130503202	30	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00189791567420626	30	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00181999341065784	30	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00260264187844049	40	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00212518201745037	40	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00229766972229529	40	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00221800540029449	50	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00211766689551718	50	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00238760729683906	50	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00263357363123158	60	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00224380395406441	60	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00218612203158604	60	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00201699549718827	70	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00206448963249116	70	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00241093130674888	70	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00232760873025963	80	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00230891146057481	80	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.0022326380666206	80	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00214464843522595	90	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00218422424928754	90	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00260214367501893	90	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsE		C1	0.00202495925076093	100	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00204953611515983	100	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	1		-Inf
obsE		C1	0.00245487680331777	100	offset_E	sigmaRel_obsE;sigmaAbs_obsE	data1	2		-Inf
obsES		C1	0.964541665677011	10		sigma_obsES	data1	1		-Inf
obsES		C1	1.08860583572663	10		sigma_obsES	data1	1		-Inf
obsES		C1	0.908039641351904	10		sigma_obsES	data1	2		-Inf
obsES		C1	1.03495980820038	20		sigma_obsES	data1	1		-Inf
obsES		C1	0.890119534403893	20		sigma_obsES	data1	1		-Inf
obsES		C1	1.0300486432834	20		sigma_obsES	data1	2		-Inf
obsES		C1	1.07243023162292	30		sigma_obsES	data1	1		-Inf
obsES		C1	0.905684915469987	30		sigma_obsES	data1	1		-Inf
obsES		C1	1.12400126968793	30		sigma_obsES	data1	2		-Inf
obsES		C1	0.941552940539468	40		sigma_obsES	data1	1		-Inf
obsES		C1	0.959015837773748	40		sigma_obsES	data1	1		-Inf
obsES		C1	1.17019212268049	40		sigma_obsES	data1	2		-Inf
obsES		C1	1.01459954392974	50		sigma_obsES	data1	1		-Inf
obsES		C1	1.06353546125438	50		sigma_obsES	data1	1		-Inf
obsES		C1	0.906758989511525	50		sigma_obsES	data1	2		-Inf
obsES		C1	0.955498193083065	60		sigma_obsES	data1	1		-Inf
obsES		C1	1.09352781421387	60		sigma_obsES	data1	1		-Inf
obsES		C1	1.03459781219963	60		sigma_obsES	data1	2		-Inf
obsES		C1	1.23938868487585	70		sigma_obsES	data1	1		-Inf
obsES		C1	1.11311047531821	70		sigma_obsES	data1	1		-Inf
obsES		C1	1.00015693564265	70		sigma_obsES	data1	2		-Inf
obsES		C1	0.841377448012448	80		sigma_obsES	data1	1		-Inf
obsES		C1	0.906292861110484	80		sigma_obsES	data1	1		-Inf
obsES		C1	1.14138896097551	80		sigma_obsES	data1	2		-Inf
obsES		C1	1.10379688792672	90		sigma_obsES	data1	1		-Inf
obsES		C1	1.03547437936071	90		sigma_obsES	data1	1		-Inf
obsES		C1	0.975830478367008	90		sigma_obsES	data1	2		-Inf
obsES		C1	1.12382772961388	100		sigma_obsES	data1	1		-Inf
obsES		C1	1.16562817849734	100		sigma_obsES	data1	1		-Inf
obsES		C1	0.898264802966849	100		sigma_obsES	data1	2		-Inf
obsP		C1	0.960773151502818	10		sigma_obsP	data1	1		-Inf
obsP		C1	0.962552051889826	10		sigma_obsP	data1	1		-Inf
obsP		C1	1.04765581839173	10		sigma_obsP	data1	2		-Inf
obsP		C1	2.06570896846468	20		sigma_obsP	data1	1		-Inf
