parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
E	E	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
ES	ES	log10	1e-05	1000	1e-12	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
P	P	log10	1e-05	1000	1e-12	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
S	S	log10	1e-05	1000	100	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
offset_E	offset_E	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
offset_S_C2	offset_S_C2	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsP	sigma_obsP	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsS_C2	sigma_obsS_C2	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigmaAbs_obsE	sigmaAbs_obsE	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigmaRel_obsE	sigmaRel_obsE	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kcat_C1	kcat_C1	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kcat_C2	kcat_C2	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kon_C1	kon_C1	log10	1e-05	1000	1	0	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kon_C2	kon_C2	log10	1e-05	1000	1	0	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
