observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId	datapointId	lloq
obsE		C1	0.00244493077499353	10	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.00178127788490538	10	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.00211534243601583	10	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.00188860242713602	20	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.00199987368129081	20	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.00169768784650809	20	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	4.62628039129178e-06	30	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	4.60193972115945e-06	30	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	3.33637788699106e-06	30	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	3.94419357372053e-06	40	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	4.06602928250639e-06	40	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	4.22416441682146e-06	40	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	4.16868676799757e-06	50	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	4.15018015376116e-06	50	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	4.20436031320392e-06	50	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.112320919422437	60	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.0875364614206254	60	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.0892568329800504	60	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.174484972525298	70	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.159192279332313	70	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.177872674421207	70	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.709580081212098	80	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.656882761839253	80	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.648294562088706	80	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	14.5635188615814	90	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	16.0472854674292	90	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	13.8231315423448	90	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	23.8585361362438	100	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	28.5467979657989	100	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	25.704049429253	100	offset_E	sigma_obsE	data1	3		-Inf
obsES		C1	0.874464465743519	10		sigma_obsES	data1	1		-Inf
obsES		C1	0.949005223075262	10		sigma_obsES	data1	2		-Inf
obsES		C1	1.09876433463256	10		sigma_obsES	data1	3		-Inf
obsES		C1	1.01786763357453	20		sigma_obsES	data1	1		-Inf
obsES		C1	1.12325713387512	20		sigma_obsES	data1	2		-Inf
obsES		C1	1.14751843776064	20		sigma_obsES	data1	3		-Inf
obsES		C1	0.00223792535378773	30		sigma_obsES	data1	1		-Inf
obsES		C1	0.00210032620276363	30		sigma_obsES	data1	2		-Inf
obsES		C1	0.00228907326010638	30		sigma_obsES	data1	3		-Inf
obsES		C1	0.00202729274374081	40		sigma_obsES	data1	1		-Inf
obsES		C1	0.00233525074586102	40		sigma_obsES	data1	2		-Inf
obsES		C1	0.0023532449749782	40		sigma_obsES	data1	3		-Inf
