parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	initializationPriorType	initializationPriorParameters	objectivePriorType	objectivePriorParameters
ES	ES	log10	1e-05	1000	1e-12	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
P	P	log10	1e-05	1000	1e-12	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
S	S	log10	1e-05	1000	100	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
koff	koff	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
kon	kon	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
offset_E	offset_E	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
qNLMERef_E	E	log10	1e-05	1000	1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
qNLMERef_kcat	kcat	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
qNLME_1_E	qNLME_1_E	log10	1e-05	1000	0.621634269772239	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;0.2
qNLME_1_kcat	qNLME_1_kcat	log10	1e-05	1000	1.19573094297164	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;0.1
qNLME_2_E	qNLME_2_E	log10	1e-05	1000	0.689269448113771	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;0.2
qNLME_2_kcat	qNLME_2_kcat	log10	1e-05	1000	2.34659964585909	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;0.1
qNLME_3_E	qNLME_3_E	log10	1e-05	1000	0.256392017331631	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;0.2
qNLME_3_kcat	qNLME_3_kcat	log10	1e-05	1000	5.70472708820368	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;0.1
sigma_obsE	sigma_obsE	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsES	sigma_obsES	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsP	sigma_obsP	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
sigma_obsS	sigma_obsS	log10	1e-05	1000	0.1	1	parameterScaleUniform	-1;1	parameterScaleNormal	0;2
