observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId	replicateId	datapointId	lloq
obsE		C1	0.00231778137771848	10	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.00204193865491654	10	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.00227906123974015	10	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.00190217783619772	20	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.00197730204103683	20	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.00217637397680696	20	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	3.34664411112614e-06	30	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	5.18481272095279e-06	30	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	4.15349621672988e-06	30	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	4.53057135469986e-06	40	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	4.02639534943287e-06	40	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	4.48141254694641e-06	40	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	3.80587019513707e-06	50	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	4.71156622721652e-06	50	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	3.1433572422044e-06	50	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.0915946475091303	60	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.0898976600509371	60	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.0998004869585248	60	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.17190783631584	70	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.192319510627398	70	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.142082872473884	70	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	0.700285044733182	80	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	0.768125069557507	80	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	0.571069006753765	80	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	16.5942319727474	90	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	14.8528952167468	90	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	19.8095542199753	90	offset_E	sigma_obsE	data1	3		-Inf
obsE		C1	23.7559646207287	100	offset_E	sigma_obsE	data1	1		-Inf
obsE		C1	25.5325799863704	100	offset_E	sigma_obsE	data1	2		-Inf
obsE		C1	25.349273834423	100	offset_E	sigma_obsE	data1	3		-Inf
obsES		C1	1.12536594717668	10		sigma_obsES	data1	1		-Inf
obsES		C1	1.10858312069332	10		sigma_obsES	data1	2		-Inf
obsES		C1	1.0406971900941	10		sigma_obsES	data1	3		-Inf
obsES		C1	1.11802222361293	20		sigma_obsES	data1	1		-Inf
obsES		C1	0.953898860626453	20		sigma_obsES	data1	2		-Inf
obsES		C1	0.879708895085001	20		sigma_obsES	data1	3		-Inf
obsES		C1	0.00217263783785062	30		sigma_obsES	data1	1		-Inf
obsES		C1	0.00185726352401443	30		sigma_obsES	data1	2		-Inf
obsES		C1	0.00176153834139121	30		sigma_obsES	data1	3		-Inf
obsES		C1	0.00205376494333714	40		sigma_obsES	data1	1		-Inf
obsES		C1	0.00218749145909641	40		sigma_obsES	data1	2		-Inf
obsES		C1	0.00215694679649363	40		sigma_obsES	data1	3		-Inf
obsES		C1	0.00219338423731264	50		sigma_obsES	data1	1		-Inf
obsES		C1	0.00179642096544429	50		sigma_obsES	data1	2		-Inf
obsES		C1	0.00208355892667181	50		sigma_obsES	data1	3		-Inf
obsES		C1	29.2864799538218	60		sigma_obsES	data1	1		-Inf
obsES		C1	33.7475265148417	60		sigma_obsES	data1	2		-Inf
obsES		C1	24.6378691796549	60		sigma_obsES	data1	3		-Inf
obsES		C1	31.9841332953869	70		sigma_obsES	data1	1		-Inf
obsES		C1	29.8303623089298	70		sigma_obsES	data1	2		-Inf
obsES		C1	32.7731370903212	70		sigma_obsES	data1	3		-Inf
obsES		C1	31.2217295881539	80		sigma_obsES	data1	1		-Inf
obsES		C1	29.3402469966016	80		sigma_obsES	data1	2		-Inf
obsES		C1	32.2181487360752	80		sigma_obsES	data1	3		-Inf
obsES		C1	13.7936519258945	90		sigma_obsES	data1	1		-Inf
obsES		C1	16.8894445633494	90		sigma_obsES	data1	2		-Inf
obsES		C1	14.4129181844123	90		sigma_obsES	data1	3		-Inf
obsES		C1	5.24011424742689	100		sigma_obsES	data1	1		-Inf
obsES		C1	6.00581648585704	100		sigma_obsES	data1	2		-Inf
obsES		C1	5.29921646877465	100		sigma_obsES	data1	3		-Inf
obsP		C1	0.880129026095573	10		sigma_obsP	data1	1		-Inf
obsP		C1	1.00108350435267	10		sigma_obsP	data1	2		-Inf
